type,year,country,host,start,duration,end,countries,events,sports,participants_m,participants_f,participants
summer,1964,Japan,Tokyo,1964-11-08,4,1964-11-12,21,143,9,195,71,266
summer,1968,Israel,Tel Aviv,1968-11-05,9,1968-11-14,29,188,10,578,196,774
summer,1972,Germany,Heidelberg,1972-08-02,9,1972-08-11,43,188,10,654,268,922
summer,1976,Canada,Toronto,1976-08-04,8,1976-08-12,40,448,13,1000,271,1271
summer,1980,Netherlands,Arnhem,1980-06-22,9,1980-07-01,43,590,13,1225,428,1653
summer,1984,UK,Stoke Mandeville New York,1984-06-17,45,1984-08-01,58,975,18,1569,536,2105
summer,1988,Korea,Seoul,1988-10-16,9,1988-10-25,60,733,18,2370,671,3041
summer,1992,Spain,Barcelona,1992-09-05,11,1992-09-16,83,489,16,2300,699,2999
summer,1996,USA,Atlanta,1996-08-16,9,1996-08-25,104,519,19,2462,790,3252
summer,2000,Australia,Sydney,2000-10-23,8,2000-10-31,123,550,19,2883,988,3871
summer,2004,Greece,Athens,2004-09-23,11,2004-10-04,135,519,19,2600,1149,3749
summer,2008,China,Beijing,2008-09-06,11,2008-09-17,146,472,20,2585,1366,3951
summer,2012,UK,London,2012-08-29,11,2012-09-09,164,530,20,2741,1502,4243
summer,2016,Brazil,Rio,2016-09-07,11,2016-09-18,160,528,22,2657,1670,4327
summer,2020,Japan,Tokyo,2021-08-24,12,2021-09-05,162,539,22,2547,1846,4393
summer,2024,France,Paris,2024-08-28,11,2024-09-08,169,549,22,2551,2016,4567
winter,1976,Sweden,Ornskoldsvik,1976-02-21,7,1976-02-28,16,53,2,161,37,198
winter,1980,Norway,Geilo,1980-02-02,6,1980-02-08,18,64,2,229,70,299
winter,1984,Austria,Innsbruck,1984-01-15,6,1984-01-21,21,107,3,325,94,419
winter,1988,Austria,Innsbruck,1988-01-18,7,1988-01-25,22,97,4,300,77,377
winter,1992,France,Tignes-Albertville,1992-03-25,8,1992-04-02,24,79,3,288,77,365
winter,1994,Norway,Lillehammer,1994-03-10,9,1994-03-19,31,133,5,39,90,129
winter,1998,Japan,Nagano,1998-03-07,9,1998-03-16,31,122,5,440,122,562
winter,2002,USA,Salt Lake City,2002-03-09,9,2002-03-18,36,92,4,328,87,415
winter,2006,Italy,Torino,2006-03-12,9,2006-03-21,38,58,5,375,99,474
winter,2010,Canada,Vancouver,2010-03-12,9,2010-03-21,44,64,5,381,121,502
winter,2014,Russia,Sochi,2014-03-07,9,2014-03-16,45,72,6,411,129,540
winter,2018,Korea,PyeongChang,2018-03-09,9,2018-03-18,49,80,6,430,133,563
winter,2022,China,Beijing,2022-03-04,9,2022-03-13,46,78,6,422,136,558
